name,rel_date,genres,rating,run_length,num_raters
Toy Story 4,2019-06-21,"Animation, Adventure, Comedy",7.8,100,184363
Shrek Forever After,2010-05-21,"Animation, Adventure, Comedy",6.3,93,179074
The Secret Life of Pets,2016-07-08,"Animation, Adventure, Comedy",6.5,87,178058
Who Framed Roger Rabbit,1988-06-22,"Animation, Adventure, Comedy",7.7,104,177334
Snow White and the Seven Dwarfs,1938-02-04,"Animation, Fantasy",7.6,83,175923
The Emperor's New Groove,2000-12-15,"Animation, Adventure, Comedy",7.3,78,173677
Your Name.,2017-04-07,"Animation, Drama, Fantasy",8.4,106,173204
Enchanted,2007-11-21,"Animation, Comedy",7.0,107,172996
Chicken Run,2000-06-23,"Animation, Adventure, Comedy",7.0,84,172974
Sausage Party,2016-08-12,"Animation, Adventure, Comedy",6.1,89,170630
The Iron Giant,1999-08-06,"Animation, Action, Adventure",8.0,86,167070
The Polar Express,2004-11-10,"Animation, Adventure, Comedy",6.6,100,167034
Happy Feet,2006-11-17,"Animation, Adventure, Comedy",6.4,108,165838
Pocahontas,1995-06-23,"Animation, Adventure, Drama",6.7,81,164719
Shark Tale,2004-10-01,"Animation, Adventure, Comedy",6.0,90,162954
Lilo & Stitch,2002-06-21,"Animation, Adventure, Comedy",7.2,85,162337
The Jungle Book,1967-10-18,"Animation, Adventure",7.6,78,161262
Mary and Max,2009-04-09,"Animation, Comedy, Drama",8.1,92,159951
Beowulf,2007-11-16,"Animation, Action, Adventure",6.2,115,159254
Madagascar 3: Europe's Most Wanted,2012-06-08,"Animation, Adventure, Comedy",6.8,93,157811
Akira,1988-07-16,"Animation, Drama, Sci-Fi",8.0,124,157623
Space Jam,1996-11-15,"Animation, Adventure, Comedy",6.4,88,157470
Over the Hedge,2006-05-19,"Animation, Adventure, Comedy",6.7,83,155579
Cars 2,2011-06-24,"Animation, Adventure, Comedy",6.1,106,153400
Rise of the Guardians,2012-11-21,"Animation, Action, Adventure",7.3,97,152650
One Hundred and One Dalmatians,1961-01-25,"Animation, Adventure, Comedy",7.2,79,148001
Antz,1998-10-02,"Animation, Adventure, Comedy",6.5,83,143835
Castle in the Sky,1986-08-02,"Animation, Adventure, Drama",8.0,125,143574
Monsters vs. Aliens,2009-03-27,"Animation, Action, Adventure",6.4,94,143391
Nausicaä of the Valley of the Wind,1987-11-25,"Animation, Adventure, Fantasy",8.1,117,142815
Cinderella,1950-03-04,"Animation, Fantasy",7.3,74,141190
Puss in Boots,2011-10-28,"Animation, Adventure, Comedy",6.6,90,140720
Schindler's List,1994-02-04,"Biography, Drama, History",8.9,195,1173324
Goodfellas,1990-09-21,"Biography, Crime, Drama",8.7,146,982784
Braveheart,1995-05-24,"Biography, Drama, History",8.3,178,936728
A Beautiful Mind,2002-01-04,"Biography, Drama",8.2,135,821709
Catch Me If You Can,2002-12-25,"Biography, Crime, Drama",8.1,141,790873
The Intouchables,2012-07-13,"Biography, Comedy, Drama",8.5,112,731145
The Pianist,2003-03-28,"Biography, Drama, Music",8.5,150,701576
The Imitation Game,2014-12-25,"Biography, Drama, Thriller",8.0,114,662291
The King's Speech,2010-12-25,"Biography, Drama, History",8.0,118,624817
12 Years a Slave,2013-11-08,"Biography, Drama, History",8.1,134,619715
The Pursuit of Happyness,2006-12-15,"Biography, Drama",8.0,117,433708
Bohemian Rhapsody,2018-11-02,"Biography, Drama, Music",8.0,134,428335
Dallas Buyers Club,2013-11-22,"Biography, Drama",8.0,117,427034
American Sniper,2015-01-16,"Action, Biography, Drama",7.3,133,426309
Rush,2013-09-27,"Biography, Drama, Sport",8.1,123,419377
Hacksaw Ridge,2016-11-04,"Biography, Drama, History",8.1,139,412911
Captain Phillips,2013-10-11,"Biography, Crime, Drama",7.8,134,409137
Spotlight,2015-11-20,"Biography, Crime, Drama",8.1,129,401931
The Theory of Everything,2014-11-26,"Biography, Drama, Romance",7.7,123,387358
American Gangster,2007-11-02,"Biography, Crime, Drama",7.8,157,381835
Amadeus,1984-09-19,"Biography, Drama, History",8.3,160,358503
Moneyball,2011-09-23,"Biography, Drama, Sport",7.6,133,350546
The Big Short,2015-12-23,"Biography, Comedy, Drama",7.8,130,344612
127 Hours,2011-01-28,"Biography, Drama",7.6,94,340395
Green Book,2018-11-16,"Biography, Comedy, Drama",8.2,130,332263
The Fighter,2010-12-17,"Biography, Drama, Sport",7.8,116,332120
Hotel Rwanda,2005-02-04,"Biography, Drama, History",8.1,121,327493
The Aviator,2004-12-25,"Biography, Drama",7.5,170,325104
Downfall,2005-04-08,"Biography, Drama, History",8.2,156,322655
Raging Bull,1980-12-19,"Biography, Drama, Sport",8.2,129,311225
The Irishman,2019-11-27,"Biography, Crime, Drama",7.9,209,297140
The Blind Side,2009-11-20,"Biography, Drama, Sport",7.6,129,283748
Public Enemies,2009-07-01,"Biography, Crime, Drama",7.0,140,275842
Donnie Brasco,1997-02-28,"Biography, Crime, Drama",7.7,127,269135
Lone Survivor,2014-01-10,"Action, Biography, Drama",7.5,121,260009
Lawrence of Arabia,1962-12-11,"Adventure, Biography, Drama",8.3,228,259310
Lincoln,2012-11-16,"Biography, Drama, History",7.3,150,239112
Blow,2001-04-06,"Biography, Crime, Drama",7.6,124,235138
Changeling,2008-10-31,"Biography, Crime, Drama",7.7,141,232041
Ford v Ferrari,2019-11-15,"Action, Biography, Drama",8.1,152,232004
Dog Day Afternoon,1975-12-25,"Biography, Crime, Drama",8.0,125,229265
Walk the Line,2005-11-18,"Biography, Drama, Music",7.8,136,227982
Sully,2016-09-09,"Biography, Drama",7.4,96,226801
The Greatest Showman,2017-12-20,"Biography, Drama",7.6,105,222573
Gandhi,1983-02-25,"Biography, Drama, History",8.0,191,214287
The Elephant Man,1980-10-10,"Biography, Drama",8.1,124,212720
Ip Man,2008-12-12,"Action, Biography, Drama",8.0,106,206556
Lion,2017-01-06,"Biography, Drama",8.0,118,204274
BlacKkKlansman,2018-08-10,"Biography, Crime, Drama",7.5,135,199225
Butch Cassidy and the Sundance Kid,1969-09-24,"Biography, Crime, Drama",8.0,110,198267
The Sound of Music,1965-04-01,"Biography, Drama",8.0,172,197238
Finding Neverland,2004-12-17,"Biography, Drama",7.7,106,195635
Remember the Titans,2000-09-29,"Biography, Drama, Sport",7.8,113,193009
Everest,2015-09-25,"Action, Adventure, Biography",7.1,121,191623
Hidden Figures,2017-01-06,"Biography, Drama, History",7.8,127,191159
Straight Outta Compton,2015-08-14,"Biography, Drama, History",7.9,147,174973
Cinderella Man,2005-06-03,"Biography, Drama, History",8.0,144,172730
Jarhead,2005-11-04,"Action, Biography, Drama",7.0,125,172053
The Last King of Scotland,2007-01-19,"Biography, Drama, History",7.7,123,172012
"I, Tonya",2018-01-19,"Biography, Comedy, Drama",7.5,119,170713
War Dogs,2016-08-19,"Biography, Comedy, Crime",7.1,114,170314
Erin Brockovich,2000-03-17,"Biography, Drama",7.3,131,169430
The Assassination of Jesse James by the Coward Robert Ford,2007-10-19,"Biography, Crime, Drama",7.5,160,164772
Black Mass,2015-09-18,"Biography, Crime, Drama",6.9,123,163703
Darkest Hour,2017-12-22,"Biography, Drama",7.4,125,163237
Ed Wood,1994-10-07,"Biography, Comedy, Drama",7.8,127,162359
Milk,2009-01-30,"Biography, Drama",7.5,128,161721
The Favourite,2018-12-21,"Biography, Comedy, Drama",7.5,119,160787
Alexander,2004-11-24,"Action, Biography, Drama",5.6,175,159847
"Girl, Interrupted",2000-01-14,"Biography, Drama",7.3,127,159130
The Danish Girl,2016-01-22,"Biography, Drama, Romance",7.1,119,158324
The Insider,1999-11-05,"Biography, Drama, Thriller",7.8,157,156188
First Man,2018-10-12,"Biography, Drama, History",7.3,141,155735
Legend,2015-11-20,"Biography, Crime, Drama",6.9,132,152203
American Made,2017-09-29,"Action, Biography, Comedy",7.2,115,151699
In the Name of the Father,1994-02-25,"Biography, Drama",8.1,133,151362
Steve Jobs,2015-10-23,"Biography, Drama",7.2,122,149109
Saving Mr. Banks,2013-12-20,"Biography, Comedy, Drama",7.5,125,148154
Invictus,2009-12-11,"Biography, Drama, History",7.3,134,146805
Dangal,2016-12-21,"Action, Biography, Drama",8.4,161,144657
Unbroken,2014-12-25,"Biography, Drama, Sport",7.2,137,141388
Ray,2004-10-29,"Biography, Drama, Music",7.7,152,135305
Monster,2004-01-30,"Biography, Crime, Drama",7.3,109,131859
Foxcatcher,2015-01-16,"Biography, Drama, Sport",7.0,134,131687
The Disaster Artist,2017-12-08,"Biography, Comedy, Drama",7.4,104,131444
Molly's Game,2018-01-05,"Biography, Crime, Drama",7.4,140,130955
Snowden,2016-09-16,"Biography, Crime, Drama",7.3,134,130626
Joy,2015-12-25,"Biography, Drama",6.6,124,124767
Seven Years in Tibet,1997-10-10,"Adventure, Biography, Drama",7.1,136,123376
"Good Morning, Vietnam",1988-01-15,"Biography, Comedy, Drama",7.3,121,122643
Capote,2006-02-03,"Biography, Crime, Drama",7.3,114,122624
Coach Carter,2005-01-14,"Biography, Drama, Sport",7.3,136,122245
Tombstone,1993-12-25,"Action, Biography, Drama",7.8,130,122041
Man on the Moon,1999-12-22,"Biography, Comedy, Drama",7.4,118,121652
Spartacus,1960-11-17,"Adventure, Biography, Drama",7.9,197,120924
Rocketman,2019-05-31,"Biography, Drama, Music",7.3,121,120434
Guardians of the Galaxy,2014-08-01,Comedy,8.0,121,1017578
Back to the Future,1985-07-03,Comedy,8.5,116,1015437
Finding Nemo,2003-05-30,Comedy,8.1,100,922237
Up,2009-05-29,Comedy,8.2,96,905205
The Truman Show,1998-06-05,Comedy,8.1,103,901368
Deadpool,2016-02-12,Comedy,8.0,108,876235
Toy Story,1995-11-22,Comedy,8.3,81,858390
"Monsters, Inc.",2001-11-02,Comedy,8.0,92,789914
Snatch,2001-01-19,Comedy,8.3,102,761777
Toy Story 3,2010-06-18,Comedy,8.3,103,735087
The Intouchables,2012-07-13,Comedy,8.5,112,731286
The Big Lebowski,1998-03-06,Comedy,8.1,117,706193
The Hangover,2009-06-05,Comedy,7.7,100,702442
Amélie,2002-02-08,"Comedy, Romance",8.3,122,686825
The Grand Budapest Hotel,2014-03-28,Comedy,8.1,99,682068
Silver Linings Playbook,2012-12-25,"Comedy, Romance",7.7,122,648078
Ratatouille,2007-06-29,Comedy,8.0,111,620481
Life Is Beautiful,1999-02-12,"Comedy, Romance",8.6,116,600633
Shrek,2001-05-18,Comedy,7.8,90,596584
Inside Out,2015-06-19,Comedy,8.1,95,587091
Kingsman: The Secret Service,2015-02-13,Comedy,7.7,129,576034
Groundhog Day,1993-02-12,"Comedy, Romance",8.0,101,566305
Birdman or (The Unexpected Virtue of Ignorance),2014-11-14,Comedy,7.7,119,561924
Ted,2012-06-29,Comedy,6.9,106,559723
Thor: Ragnarok,2017-11-03,Comedy,7.9,130,557789
Frozen,2013-11-27,Comedy,7.4,102,557363
Ant-Man,2015-07-17,Comedy,7.3,117,549225
Guardians of the Galaxy Vol. 2,2017-05-05,Comedy,7.6,136,544505
"Lock, Stock and Two Smoking Barrels",1998-08-28,Comedy,8.2,107,521113
Kick-Ass,2010-04-16,Comedy,7.6,117,515837
Toy Story 2,1999-11-24,Comedy,7.9,92,511333
Superbad,2007-08-17,Comedy,7.6,113,508483
Zombieland,2009-10-02,Comedy,7.6,88,507445
Men in Black,1997-07-02,Comedy,7.3,98,504085
21 Jump Street,2012-03-16,Comedy,7.2,109,499686
Shaun of the Dead,2004-09-24,Comedy,7.9,99,499316
Despicable Me,2010-07-09,Comedy,7.6,95,488655
Monty Python and the Holy Grail,1979-12-06,Comedy,8.2,91,488567
Once Upon a Time... in Hollywood,2019-07-26,Comedy,7.7,161,488535
La La Land,2016-12-25,Comedy,8.0,128,483017
Juno,2007-12-25,Comedy,7.4,96,481757
American Psycho,2000-04-14,Comedy,7.6,101,468059
Back to the Future Part II,1989-11-22,Comedy,7.8,108,462540
500 Days of Summer,2009-08-07,"Comedy, Romance",7.7,95,461834
"Crazy, Stupid, Love",2011-07-29,"Comedy, Romance",7.4,118,460023
Deadpool 2,2018-05-18,Comedy,7.7,119,455361
The Hangover Part II,2011-05-26,Comedy,6.4,102,453967
Hot Fuzz,2007-04-20,Comedy,7.8,121,450327
Home Alone,1990-11-16,Comedy,7.6,103,448866
Parasite,2019-11-08,Comedy,8.6,132,443010
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,Comedy,8.4,95,438092
Little Miss Sunshine,2006-08-18,Comedy,7.8,101,429216
Ice Age,2002-03-15,Comedy,7.5,81,428871
Zootopia,2016-03-04,Comedy,8.0,108,417325
Horrible Bosses,2011-07-08,Comedy,6.9,98,413945
Love Actually,2003-11-14,"Comedy, Romance",7.6,135,413896
Charlie and the Chocolate Factory,2005-07-15,Comedy,6.6,115,413780
Shrek 2,2004-05-19,Comedy,7.2,93,407590
Dead Poets Society,1989-06-09,Comedy,8.1,128,407018
"Three Billboards Outside Ebbing, Missouri",2017-12-01,Comedy,8.2,115,404557
Lost in Translation,2003-10-03,Comedy,7.7,102,399082
